0	0	0	0
5.64822e+08  	5.49619e+06  	805804       	7.07298e+08
6.23987e+08  	5.63211e+06  	1.1703e+06   	9.19669e+08
6.37865e+08  	5.72175e+06  	2.43417e+06  	1.5589e+09
5.46962e+08  	5.40858e+06  	1.23328e+06  	9.11755e+08
5.65164e+08  	5.52311e+06  	1.08941e+06  	8.4938e+08
6.15884e+08  	5.5129e+06   	1.27293e+06  	9.66456e+08
4.35902e+08  	5.22173e+06  	649214       	5.63445e+08
4.12747e+08  	5.15624e+06  	594652       	5.24324e+08
6.58822e+08  	5.70882e+06  	1.55843e+06  	1.13146e+09
6.31169e+08  	5.66608e+06  	1.53678e+06  	1.10664e+09
0	0	0	0
6.24537e+08  	5.59321e+06  	1.67656e+06  	1.17292e+09
4.93029e+08  	5.24186e+06  	590298       	5.62631e+08
6.65773e+08  	5.7624e+06   	1.72139e+06  	1.21663e+09
5.97493e+08  	5.60418e+06  	1.06152e+06  	8.51924e+08
5.14135e+08  	5.38756e+06  	1.05614e+06  	8.06685e+08
4.5667e+08   	5.26911e+06  	788224       	6.43524e+08
6.44701e+08  	5.6939e+06   	1.87954e+06  	1.2849e+09
5.7007e+08   	5.39905e+06  	887597       	7.5043e+08
6.58786e+08  	5.74931e+06  	1.45213e+06  	1.07845e+09
4.89105e+08  	5.21678e+06  	861560       	6.962e+08
5.42544e+08  	5.4893e+06   	1.01635e+06  	8.01405e+08
5.14501e+08  	5.32372e+06  	934475       	7.45783e+08
5.85881e+08  	5.47914e+06  	1.3436e+06   	9.86659e+08
5.01294e+08  	5.33461e+06  	1.26068e+06  	9.02325e+08
6.62198e+08  	5.65123e+06  	1.68014e+06  	1.19378e+09
6.07303e+08  	5.59633e+06  	1.51293e+06  	1.0825e+09
5.64615e+08  	5.53208e+06  	1.38033e+06  	9.94602e+08
6.93888e+08  	5.74005e+06  	1.80825e+06  	1.27403e+09
6.62623e+08  	5.75143e+06  	1.73906e+06  	1.22385e+09
6.37492e+08  	5.65986e+06  	1.49297e+06  	1.08787e+09
6.34183e+08  	5.71243e+06  	1.45625e+06  	1.06806e+09
4.23429e+08  	5.16955e+06  	569910       	5.17348e+08
5.65717e+08  	5.57903e+06  	1.11472e+06  	8.62536e+08
5.54856e+08  	5.51087e+06  	1.17766e+06  	8.88302e+08
6.06381e+08  	5.57123e+06  	1.04704e+06  	8.48996e+08
4.63997e+08  	5.35451e+06  	782130       	6.44482e+08
4.58059e+08  	5.23575e+06  	744102       	6.22023e+08
4.81942e+08  	5.20928e+06  	826849       	6.75233e+08
5.2447e+08   	5.45882e+06  	933003       	7.50572e+08
5.65064e+08  	5.41596e+06  	965530       	7.86961e+08
5.37459e+08  	5.47232e+06  	1.17012e+06  	8.7568e+08
5.72146e+08  	5.38101e+06  	1.11461e+06  	8.64901e+08
5.56099e+08  	5.48345e+06  	1.20514e+06  	9.02553e+08
6.28719e+08  	5.66538e+06  	1.46475e+06  	1.0694e+09
0	0	0	0
5.19298e+08  	5.45579e+06  	1.41861e+06  	9.90779e+08
5.53917e+08  	5.41413e+06  	768476       	6.82853e+08
5.71081e+08  	5.49359e+06  	1.44408e+06  	1.02956e+09
5.5534e+08   	5.43641e+06  	1.25948e+06  	9.29155e+08
5.73981e+08  	5.52655e+06  	927502       	7.72848e+08
4.73457e+08  	5.31075e+06  	765853       	6.40898e+08
6.26111e+08  	5.56644e+06  	1.3417e+06   	1.00617e+09
4.91061e+08  	5.21488e+06  	964514       	7.48647e+08
7.04886e+08  	5.8372e+06   	1.96373e+06  	1.35766e+09
5.54428e+08  	5.40588e+06  	1.3112e+06   	9.54438e+08
5.80474e+08  	5.55343e+06  	1.21744e+06  	9.21173e+08
5.37311e+08  	5.47599e+06  	926459       	7.53789e+08
5.53309e+08  	5.48791e+06  	857310       	7.27261e+08
5.35741e+08  	5.33129e+06  	1.0067e+06   	7.92548e+08
5.98471e+08  	5.52688e+06  	1.27314e+06  	9.57914e+08
5.60931e+08  	5.44521e+06  	1.35063e+06  	9.77561e+08
5.11615e+08  	5.36743e+06  	756312       	6.55433e+08
5.54928e+08  	5.39231e+06  	1.06301e+06  	8.30536e+08
5.54653e+08  	5.50121e+06  	1.65096e+06  	1.12481e+09
6.43921e+08  	5.62783e+06  	1.5116e+06   	1.10027e+09
5.35851e+08  	5.43709e+06  	1.28146e+06  	9.30405e+08
5.35704e+08  	5.3227e+06   	1.08444e+06  	8.31363e+08
5.62362e+08  	5.54184e+06  	1.73397e+06  	1.17033e+09
4.28915e+08  	5.21389e+06  	606383       	5.38505e+08
